Income,Age,LoanAmount,DebtRatio,CreditHistory,MissedPayments,EmploymentYears,ExistingLoans,Creditworthy
34259,62,43221,0.33,9,4,19,2,1
83206,34,34700,0.83,7,7,3,3,0
110936,60,47124,0.79,8,5,13,4,1
133493,47,12739,0.35,9,0,13,4,1
84484,45,13559,0.73,0,7,7,5,0
138013,46,4744,0.59,3,7,30,5,1
94700,46,28680,0.64,4,5,18,5,0
66889,39,24402,0.41,10,2,28,3,1
21768,53,29737,0.74,8,3,21,3,1
90581,31,1664,0.41,2,6,16,5,0
26987,31,16184,0.71,5,5,12,1,0
138888,32,15960,0.89,5,5,6,2,0
118516,64,47377,0.43,9,4,5,1,1
104466,65,46934,0.31,6,8,15,0,1
34865,36,27123,0.83,8,6,14,0,0
136484,49,38030,0.38,8,1,6,0,1
136046,26,33714,0.18,10,1,28,4,1
29986,24,25197,0.12,0,4,1,5,0
31231,26,45265,0.26,1,6,5,1,0
75512,47,40016,0.39,9,4,7,1,1
105616,32,16783,0.28,0,8,9,2,0
147078,34,21270,0.35,2,0,0,4,1
38821,55,31100,0.21,9,0,7,4,1
98851,36,4982,0.82,4,0,25,4,1
114672,36,6855,0.23,7,5,17,3,1
134653,50,13245,0.57,0,4,22,4,1
61583,34,5635,0.32,3,4,10,0,0
110518,45,5887,0.66,0,7,9,1,0
24270,24,6210,0.86,4,5,24,4,0
78677,39,49590,0.38,3,6,22,3,1
84194,54,23160,0.36,3,3,29,0,1
106761,48,38849,0.49,3,3,16,0,1
24328,59,46911,0.56,8,6,2,5,0
118834,32,40423,0.33,1,7,20,5,0
141850,26,32531,0.74,4,8,5,4,0
108290,45,21281,0.41,10,3,14,4,1
94742,59,13016,0.66,10,1,6,4,1
112309,36,27822,0.48,1,0,8,1,1
23909,49,2832,0.47,2,7,19,5,0
116353,33,40688,0.41,9,0,0,1,1
103438,21,24920,0.44,7,4,25,0,1
29545,23,47589,0.81,3,1,13,4,0
27799,55,23993,0.48,8,0,17,4,1
30262,64,9890,0.14,0,8,12,5,0
57151,34,22022,0.14,4,4,0,0,0
108868,59,46770,0.22,4,1,23,0,1
